days,close_0,ret_0,volume_0,close_1,ret_1,volume_1,close_2,ret_2,volume_2,close_3,ret_3,volume_3,close_4,ret_4,volume_4,close_5,ret_5,volume_5,close_6,ret_6,volume_6,close_7,ret_7,volume_7
8082,30.63567317048627,-1.1880864822727817,750.0,-7.747912866688086,0.7832152002586228,1819.0,40.788496139052,-1.5372278364451681,932.0,-6.051485067315069,0.9637270720559631,2532.0,-8.293174647502324,-0.565213191984831,210.0,-4.1888208976025965,0.12693396659401848,2206.0,48.08333157579869,-1.8314510341926244,972.0,-6.85119786961571,0.3162091324438009,1673.0
8085,32.0021246866209,1.366451516134633,927.0,-7.911493514304308,-0.16358064761622176,1415.0,42.95740524085962,2.1689091018076208,889.0,-6.257995283057633,-0.20651021574256415,1484.0,-8.786447427575576,-0.4932727800732508,214.0,-4.518849210747044,-0.3300283131444481,1450.0,50.405772916139554,2.3224413403408644,898.0,-7.272810046207445,-0.42161217659173456,1406.0
8086,29.924377811187373,-2.077746875433529,1077.0,-8.060207319718154,-0.1487138054138458,1620.0,40.98046215179832,-1.9769430890612976,891.0,-6.26425461519271,-0.006259332135077372,800.0,-8.149303624157595,0.6371438034179817,291.0,-4.518849210747044,0.0,1061.0,48.88820978167651,-1.5175631344630454,955.0,-7.641720700725212,-0.3689106545177677,1236.0
8087,29.901056219742706,-0.02332159144466746,1172.0,-8.491474329858969,-0.4312670101408137,1685.0,40.37120364066358,-0.6092585111347427,969.0,-6.627219487483215,-0.36296487229050495,873.0,-8.097919715751845,0.05138390840575095,1285.0,-4.5696227973846515,-0.05077358663760739,1371.0,48.63643477328939,-0.25177500838712036,984.0,-7.887661137070391,-0.24594043634517848,1193.0
8088,31.0770502690398,1.1759940492970922,948.0,-8.213875478549735,0.2775988513092339,1360.0,41.43314924570321,1.06194560503963,984.0,-6.164129173388966,0.46309031409424833,62.0,-7.584090432172765,0.5138292835790801,485.0,-3.1225755782128406,1.4470472191718107,2986.0,49.82161327297762,1.1851784996882377,907.0,-7.501183308527968,0.3864778285424233,1914.0
8092,29.983545064305755,-1.0935052047340448,932.0,-9.170593270082156,-0.9567177915324211,1408.0,39.75364487493676,-1.6795043707664485,912.0,-6.245481393258976,-0.08135221987001018,1172.0,-7.142201560505265,0.44188887166749985,258.0,-3.173349164850448,-0.05077358663760739,1640.0,47.872526875869795,-1.9490863971078296,923.0,-7.834959614996424,-0.3337763064684565,1429.0
8094,30.789853338396743,0.5065872732188879,864.0,-8.99213821636521,-0.06939876734001502,1837.0,41.24718648043703,0.8934581940677763,858.0,-7.572178112076943,-1.326696718817967,2038.0,-7.830729272328998,-1.0482101704247746,577.0,-3.8080189978205405,-0.761603799564111,2900.0,49.94782344154179,0.999154423422206,856.0,-7.167407002059511,-0.12297021817258924,2013.0
8095,30.905163088919146,0.11530975052240498,474.0,-8.90786693389906,0.08427128246615175,1422.0,41.55415368414366,0.3069672037066243,817.0,-7.378177011661536,0.19400110041540722,1484.0,-6.546160963620513,1.2845683087084854,143.0,-2.944868024981215,0.8631509728393257,2085.0,50.5475193741486,0.599695932606808,820.0,-6.534988737171909,0.6324182648876018,1559.0
8096,30.008161567510488,-0.8970015214086593,607.0,-9.641514017310712,-0.7336470834116524,1820.0,40.12760452808981,-1.4265491560538452,896.0,-8.141653200110012,-0.7634761884484763,1579.0,-6.864735315449111,-0.3185743518285982,298.0,-3.0464151982564296,-0.10154717327521479,2442.0,48.61892216457451,-1.9285972095740833,841.0,-6.007973516432241,0.5270152207396682,1632.0
8099,30.371366194034525,0.3632046265240377,609.0,-8.967353212454432,0.6741608048562793,1584.0,40.472965796262066,0.34536126817225365,793.0,-7.1779213535825495,0.963731846527462,1231.0,-6.505052856848069,0.3596824586010419,192.0,-2.817934058387196,0.22848113986923327,1702.0,48.906045054761975,0.2871228901874652,781.0,-4.708002638607726,1.2999708778245147,2854.0
8100,31.0705724152986,0.6992062212640722,687.0,-7.931322273822767,1.0360309386316648,2030.0,41.739767373282135,1.266801577020065,855.0,-5.682260862889485,1.4956604906930648,2318.0,-5.282144258178642,1.2229085986694272,250.0,-2.970254818300018,-0.15232075991282218,2155.0,50.35026657778533,1.4442215230233522,909.0,-4.620166768484448,0.08783587012327802,2776.0
8101,30.566574965599845,-0.5039974496987538,516.0,-7.281946472877266,0.6493758009455006,2326.0,41.45353787731023,-0.2862294959719056,714.0,-5.043947444785061,0.6383134181044234,2572.0,-5.672654121679606,-0.39050986350096367,255.0,-3.1987359581692516,-0.22848113986923327,1249.0,49.86522136266558,-0.4850452151197472,776.0,-4.953943074952904,-0.3337763064684565,2158.0
8102,31.108144625985734,0.541569660385889,472.0,-7.158019562348786,0.1239269105284802,1661.0,42.09624736255904,0.6427094852488089,769.0,-5.068979998853872,-0.025032554068810574,1953.0,-6.741415895370995,-1.068761773691389,275.0,-3.021028404937626,0.17770755323162588,1594.0,50.58551310378794,0.7202917411223613,773.0,-5.393122425569294,-0.43917935061639013,1708.0
8103,30.968218372258594,-0.13992625372713946,425.0,-6.999393268150298,0.15862629419848773,1508.0,41.849825473890874,-0.2464218886681657,671.0,-4.718529016362023,0.35045098249184914,1895.0,-6.587264170153742,0.15415172521725284,226.0,-3.274896338125663,-0.25386793318803696,1847.0,50.33143104515096,-0.25408205863698313,759.0,-5.990406342407585,-0.5972839168382906,1359.0
8106,31.344378706265033,0.37616033400643845,421.0,-7.579370301755784,-0.5799770336054857,1353.0,42.26323934863814,0.4134138747472625,683.0,-5.444458760943033,-0.7259297445810099,1722.0,-6.093991390080491,0.4932727800732508,226.0,-3.6556982379077185,-0.3808018997820555,1387.0,51.043131847405824,0.7117008022548653,767.0,-6.710660477418465,-0.7202541350108799,1732.0
8107,32.9069022684717,1.5625235622066627,807.0,-7.4306602782911115,0.14871002346467194,1174.0,43.50938509997813,1.246145751339993,735.0,-5.344328544667791,0.1001302162752423,1889.0,-6.433117345175704,-0.3391259550952127,145.0,-3.884179377776952,-0.22848113986923327,1895.0,51.98644113488467,0.9433092874788497,834.0,-6.4295856930239745,0.2810747843944897,1179.0
