days,close_0,ret_0,volume_0,close_1,ret_1,volume_1,close_2,ret_2,volume_2,close_3,ret_3,volume_3,close_4,ret_4,volume_4,close_5,ret_5,volume_5,close_6,ret_6,volume_6,close_7,ret_7,volume_7
11064,77.57913720064036,2.5674970008306808,764.0,-7.643814715678073,1.1202965481740559,1385.0,95.16050759860872,1.8050080126306376,2932.0,-6.733604261422047,1.639596482970851,2093.0,14.36660953407711,1.973096020532218,401.0,14.57201936499335,1.599367979084633,11.0,89.50595901535631,2.4275089260208027,1740.0,6.763361999492391,0.2986419584191453,9.0
11067,73.93541366497332,-3.6437235356670374,573.0,-8.159347335361279,-0.5155326196832047,1288.0,91.89991246759745,-3.2605951310112773,2281.0,-7.4345014519342465,-0.7008971905121993,1927.0,14.705735489172323,0.3391259550952127,427.0,14.876660884818994,0.30464151982564436,18.0,88.82565345636182,-0.6803055589944952,1491.0,6.236346778752723,-0.5270152207396682,7.0
11068,75.16755021167444,1.2321365467011172,590.0,-8.674883736993657,-0.5155364016323786,1340.0,96.27241418572828,4.372501718130831,2409.0,-7.885077876229839,-0.4505764242955925,1592.0,12.979273408557123,-1.7264620806152,637.0,14.57201936499335,-0.30464151982564436,18.0,90.61282687229746,1.7871734159356432,1400.0,6.939033739738947,0.7026869609862242,0.0
11069,75.26817770570102,0.10062749402658155,441.0,-8.461729299606704,0.21315443738695292,1204.0,95.89801495522923,-0.374399230499048,2287.0,-7.647270999811888,0.237806876417951,1905.0,13.441718783730453,0.46244537517332907,316.0,13.12497214582154,-1.4470472191718107,16.0,91.38499497760468,0.7721681053072124,1485.0,6.534988737171868,-0.4040450025670789,3.0
11070,77.84819548181989,2.5800177761188605,431.0,-7.678514099348082,0.7832152002586228,1065.0,98.55314831669227,2.6551333614630446,2281.0,-6.5646404895469495,1.0826305102649387,1573.0,15.517587521313388,2.0758687375829346,466.0,13.861189152066846,0.7362170062453072,5.0,92.72414084833882,1.3391458707341484,1349.0,5.5160926437418425,-1.018896093430025,1.0
11071,75.56573722536548,-2.282458256454403,600.0,-7.881752266001219,-0.20323816665313715,777.0,97.53276862834038,-1.0203796883518992,2087.0,-6.821215813427135,-0.2565753238801853,1406.0,15.568971429719138,0.05138390840575095,237.0,13.277292905734361,-0.583896246332485,975.0,92.85630417454075,0.1321633262019281,1137.0,5.199883511298042,-0.3162091324438009,744.0
11074,75.76310418319758,0.19736695783209676,452.0,-7.990808552378149,-0.10905628637693039,913.0,98.81474855254284,1.2819799242024588,2267.0,-7.033990135776276,-0.21277432234914043,1552.0,15.589523032985753,0.020551603266614486,309.0,13.302679699053165,0.025386793318803696,1111.0,93.70214462226754,0.8458404477267808,1244.0,6.130943734604789,0.9310602233067471,854.0
11075,76.88727210762421,1.1241679244266238,519.0,-8.283274245889759,-0.29246569351160984,767.0,99.43027750523079,0.6155289526879464,2085.0,-7.340630567794082,-0.30664043201780644,1403.0,14.202186907465766,-1.3873361255199872,383.0,13.785028772110435,0.48234907305727026,1049.0,93.49630088703678,-0.20584373523076183,1171.0,6.271481126802033,0.14053739219724484,1089.0
11076,76.82508339373234,-0.06218871389186969,452.0,-8.382418043482048,-0.09914379759228847,615.0,99.87245783864996,0.44218033341917584,2101.0,-7.584692001875611,-0.24406143408152947,1932.0,15.209284070878882,1.007097163413116,326.0,14.16583067189249,0.3808018997820555,1024.0,93.87330193765771,0.3770010506209297,1158.0,5.779600254111676,-0.49188087269035696,770.0
11077,74.45581662524047,-2.3692667684918725,474.0,-10.662672440816248,-2.280254397334201,347.0,96.22518978810629,-3.647268050543675,2179.0,-10.538466539394275,-2.953774537518663,3169.0,14.983206634467694,-0.22607743641118883,459.0,12.99803817922752,-1.16779249266497,1248.0,91.9351215962765,-1.9381803413812055,1300.0,5.112047641174763,-0.667552612936913,1004.0
11078,74.75727076500773,0.3014541397672543,805.0,-9.958768496682282,0.7039039441339658,203.0,96.9123008948827,0.687111106776408,2896.0,-9.756217129012065,0.7822494103822095,2786.0,15.116796955939902,0.1335903214722089,504.0,14.140443878573686,1.1424056993461664,1252.0,91.85714975111856,-0.07797184515794904,1970.0,4.866107204829584,-0.24594043634517848,1101.0
11081,74.55817066828048,-0.19910009672725007,680.0,-9.894325973734588,0.06444252294769405,977.0,98.84978545276796,1.9374845578852617,2020.0,-9.699892688739366,0.05632444027269852,1523.0,15.640906941391505,0.524109985451602,290.0,13.251906112415556,-0.8885377661581294,1022.0,92.76544188777693,0.9082921366583804,1096.0,4.88367437885424,0.017567174024655605,770.0
11082,75.17877937014345,0.6206087018629565,475.0,-11.77305839118025,-1.8787324174456608,1721.0,98.24326352609114,-0.6065219266768154,2154.0,-12.096706028023616,-2.39681333928425,2219.0,14.387161137343726,-1.2537458040477785,377.0,13.480387252284789,0.22848113986923327,965.0,91.77190182440334,-0.9935400633735889,1186.0,5.4106895995939075,0.5270152207396682,1466.0
11083,74.83759483342227,-0.3411845367211679,401.0,-10.077737271843855,1.6953211193363944,1368.0,96.31115732632162,-1.9321061997695241,2372.0,-9.831310016746999,2.2653960112766183,1872.0,14.048035182248514,-0.3391259550952127,368.0,13.683481598835218,0.20309434655042957,727.0,91.06548465121722,-0.7064171731861237,1215.0,4.708002638607684,-0.7026869609862242,971.0
11084,74.80736704592391,-0.03022778749835819,494.0,-11.376490764709443,-1.2987534928655882,1401.0,96.14902223895761,-0.16213508736400367,2139.0,-11.370778670678357,-1.539468653931358,1433.0,12.270194093466777,-1.7778410887817362,446.0,12.99803817922752,-0.6854434196076998,1123.0,91.73886099285286,0.6733763416356416,1257.0,3.847211111399559,-0.8607915272081247,1292.0
11085,74.42688045456131,-0.38048659136259105,519.0,-10.181835422853878,1.1946553418555657,1140.0,97.90196188399663,1.7529396450390184,1983.0,-9.731184574943256,1.6395940957351014,1200.0,14.191906205593245,1.921712112126467,431.0,13.607321218878807,0.6092830396512887,980.0,93.88717650559394,2.1483155127410827,1392.0,3.8999126334735257,0.05270152207396682,972.0
11088,75.30790810265495,0.8810276480936342,428.0,-9.889367838367681,0.29246758448619675,1085.0,97.78387072286888,-0.1180911611277558,1885.0,-9.474604476591573,0.2565800983516842,936.0,13.462280187475498,-0.7296260181177469,266.0,13.023424972546323,-0.583896246332485,946.0,93.77318725006663,-0.11398925552730994,1175.0,4.145853069818704,0.24594043634517848,822.0
